Tamanho do vetor;Algoritmo usado;Forma de entrada;Comparacoes realizadas; Chaves trocadas; Tempo total
100000;BubbleSort;Crescente;19999700001;0;18.967000
100000;BubbleSort;Decrescente;19999700001;14999850000;26.532000
100000;BubbleSort;Aleatorio;19999700001;7521285681;31.812000
100000;HeapSort;Crescente;9147565;5248539;0.016000
100000;HeapSort;Decrescente;8386015;4791609;0.016000
100000;HeapSort;Aleatorio;8774015;5024409;0.031000
100000;InsertionSort;Crescente;99999;199998;0.000000
100000;InsertionSort;Decrescente;9999999999;5000149998;12.730000
100000;InsertionSort;Aleatorio;5014290453;2507295225;6.350000
100000;MergeSort;Crescente;5267902;3337856;0.047000
100000;MergeSort;Decrescente;5345662;3337856;0.031000
100000;MergeSort;Aleatorio;6710210;3337856;0.031000
100000;QuickSort;Crescente;3396637;262140;0.016000
100000;QuickSort;Decrescente;3396665;412137;0.000000
100000;QuickSort;Aleatorio;4530450;1394801;0.015000
100000;SelectionSort;Crescente;10000099999;299997;9.114000
100000;SelectionSort;Decrescente;10000099999;299997;9.113000
100000;SelectionSort;Aleatorio;10000099999;299997;9.121000
100000;ShellSort;Crescente;2134329;2134292;0.000000
100000;ShellSort;Decrescente;3373637;2753946;0.016000
100000;ShellSort;Aleatorio;8241537;5187896;0.015000
300000;BubbleSort;Crescente;179999100001;0;162.162000
300000;BubbleSort;Decrescente;179999100001;134999550000;235.879000
300000;BubbleSort;Aleatorio;179999100001;67612016250;283.675000
300000;HeapSort;Crescente;29771675;17143005;0.064000
300000;HeapSort;Decrescente;27564535;15818721;0.064000
300000;HeapSort;Aleatorio;28675985;16485591;0.065000
300000;InsertionSort;Crescente;299999;599998;0.000000
300000;InsertionSort;Decrescente;89999999999;45000449998;114.369000
300000;InsertionSort;Aleatorio;45074977499;22537938748;57.170000
300000;MergeSort;Crescente;17208318;10951424;1.519000
300000;MergeSort;Decrescente;17445950;10951424;1.502000
300000;MergeSort;Aleatorio;22020014;10951424;1.533000
300000;QuickSort;Crescente;10933960;675712;0.000000
300000;QuickSort;Decrescente;10933999;1125713;0.016000
300000;QuickSort;Aleatorio;14427081;4702228;0.031000
300000;SelectionSort;Crescente;90000299999;899997;81.253000
300000;SelectionSort;Decrescente;90000299999;899997;81.842000
300000;SelectionSort;Aleatorio;90000299999;899997;81.349000
300000;ShellSort;Crescente;7002892;7002852;0.016000
300000;ShellSort;Decrescente;10976380;8989596;0.031000
300000;ShellSort;Aleatorio;31314144;19158478;0.080000
500000;BubbleSort;Crescente;499998500001;0;449.525000
500000;BubbleSort;Decrescente;499998500001;374999250000;653.911000
500000;BubbleSort;Aleatorio;499998500001;187495091136;785.779000
500000;HeapSort;Crescente;51469305;29681583;0.112000
500000;HeapSort;Decrescente;47754815;27452889;0.101000
500000;HeapSort;Aleatorio;49621775;28573065;0.132000
500000;InsertionSort;Crescente;499999;999998;0.000000
500000;InsertionSort;Decrescente;249999999999;125000749998;316.735000
500000;InsertionSort;Aleatorio;124997227423;62499363710;158.418000
500000;MergeSort;Crescente;29836414;18951424;3.359000
500000;MergeSort;Decrescente;30017854;18951424;3.269000
500000;MergeSort;Aleatorio;38124906;18951424;3.302000
500000;QuickSort;Crescente;18786465;1048572;0.031000
500000;QuickSort;Decrescente;18786497;1798569;0.016000
500000;QuickSort;Aleatorio;25187076;8290034;0.065000
500000;SelectionSort;Crescente;250000499999;1499997;225.470000
500000;SelectionSort;Decrescente;250000499999;1499997;226.879000
500000;SelectionSort;Aleatorio;250000499999;1499997;225.363000
500000;ShellSort;Crescente;12202892;12202852;0.015000
500000;ShellSort;Decrescente;19106500;15654656;0.031000
500000;ShellSort;Aleatorio;54095820;33149316;0.128000
700000;BubbleSort;Crescente;979997900001;0;879.369000
700000;BubbleSort;Decrescente;979997900001;734998950000;1282.248000
700000;BubbleSort;Aleatorio;979997900001;367478296059;1532.223000
700000;HeapSort;Crescente;74133875;42800325;0.143000
700000;HeapSort;Decrescente;68715885;39549531;0.142000
700000;HeapSort;Aleatorio;71244070;41066442;0.190000
700000;InsertionSort;Crescente;699999;1399998;0.000000
700000;InsertionSort;Decrescente;489999999999;245001049998;622.484000
700000;InsertionSort;Aleatorio;244986230705;122494165351;310.054000
700000;MergeSort;Crescente;42705022;27302848;5.129000
700000;MergeSort;Decrescente;43403518;27302848;5.143000
700000;MergeSort;Aleatorio;54849950;27302848;5.175000
700000;QuickSort;Crescente;27567882;1751424;0.032000
700000;QuickSort;Decrescente;27567923;2801425;0.031000
700000;QuickSort;Aleatorio;35634698;12091688;0.065000
700000;SelectionSort;Crescente;490000699999;2099997;442.378000
700000;SelectionSort;Decrescente;490000699999;2099997;446.365000
700000;SelectionSort;Aleatorio;490000699999;2099997;443.186000
700000;ShellSort;Crescente;17402892;17402852;0.047000
700000;ShellSort;Decrescente;28356060;22879436;0.064000
700000;ShellSort;Aleatorio;81713238;49558025;0.189000
1000000;BubbleSort;Crescente;1999997000001;0;1800.445000
1000000;BubbleSort;Decrescente;1999997000001;1499998500000;2616.132000
1000000;BubbleSort;Aleatorio;1999997000001;750162271827;3150.756000
1000000;HeapSort;Crescente;108324635;62594781;0.206000
1000000;HeapSort;Decrescente;100745995;58047597;0.205000
1000000;HeapSort;Aleatorio;104239235;60143541;0.299000
1000000;InsertionSort;Crescente;999999;1999998;0.000000
1000000;InsertionSort;Decrescente;999999999999;500001499998;1272.625000
1000000;InsertionSort;Aleatorio;500109181217;250056090607;635.594000
1000000;MergeSort;Crescente;62672830;39902848;7.907000
1000000;MergeSort;Decrescente;63035710;39902848;7.941000
1000000;MergeSort;Aleatorio;80249626;39902848;7.942000
1000000;QuickSort;Crescente;39572899;2097148;0.032000
1000000;QuickSort;Decrescente;39572933;3597145;0.047000
1000000;QuickSort;Aleatorio;55145428;17898990;0.112000
1000000;SelectionSort;Crescente;1000000999999;2999997;905.232000
1000000;SelectionSort;Decrescente;1000000999999;2999997;912.828000
1000000;SelectionSort;Aleatorio;1000000999999;2999997;910.604000
1000000;ShellSort;Crescente;25608573;25608530;0.066000
1000000;ShellSort;Decrescente;38099341;31853914;0.080000
1000000;ShellSort;Aleatorio;125376695;75492591;0.299000
2000000;BubbleSort;Crescente;7999994000001;0;7225.410000
2000000;BubbleSort;Decrescente;7999994000001;5999997000000;10564.419000
2000000;BubbleSort;Aleatorio;7999994000001;3001113728028;13368.943000
2000000;HeapSort;Crescente;226392605;131035563;0.471000
2000000;HeapSort;Decrescente;211359575;122015745;0.458000
2000000;HeapSort;Aleatorio;218486040;126291624;0.639000
2000000;InsertionSort;Crescente;1999999;3999998;0.009000
2000000;InsertionSort;Decrescente;3999999999999;2000002999998;5358.204000
2000000;InsertionSort;Aleatorio;2000744485351;1000375242674;2675.209000
2000000;MergeSort;Crescente;131345662;83805696;18.013000
2000000;MergeSort;Decrescente;132071422;83805696;17.975000
2000000;MergeSort;Aleatorio;168501886;83805696;18.195000
2000000;QuickSort;Crescente;83145765;4194300;0.084000
2000000;QuickSort;Decrescente;83145801;7194297;0.086000
2000000;QuickSort;Aleatorio;105025997;38787663;0.240000
2000000;SelectionSort;Crescente;4000001999999;5999997;3797.365000
2000000;SelectionSort;Decrescente;4000001999999;5999997;3814.820000
2000000;SelectionSort;Aleatorio;4000001999999;5999997;3793.049000
2000000;ShellSort;Crescente;53608573;53608530;0.127000
2000000;ShellSort;Decrescente;85679697;69644092;0.175000
2000000;ShellSort;Aleatorio;279178973;166393730;0.633000
4;BubbleSort;Crescente;21;0;0.000000
4;BubbleSort;Decrescente;21;18;0.000000
4;BubbleSort;Aleatorio;21;12;0.000000
4;HeapSort;Crescente;61;27;0.000000
4;HeapSort;Decrescente;51;21;0.000000
4;HeapSort;Aleatorio;56;24;0.000000
4;InsertionSort;Crescente;3;6;0.000000
4;InsertionSort;Decrescente;15;12;0.000000
4;InsertionSort;Aleatorio;11;10;0.000000
4;MergeSort;Crescente;34;16;0.000000
4;MergeSort;Decrescente;34;16;0.000000
4;MergeSort;Aleatorio;36;16;0.000000
4;QuickSort;Crescente;22;8;0.000000
4;QuickSort;Decrescente;29;15;0.000000
4;QuickSort;Aleatorio;31;12;0.000000
4;SelectionSort;Crescente;19;9;0.000000
4;SelectionSort;Decrescente;19;9;0.000000
4;SelectionSort;Aleatorio;19;9;0.000000
4;ShellSort;Crescente;21;14;0.000000
4;ShellSort;Decrescente;33;20;0.000000
4;ShellSort;Aleatorio;29;18;0.000000
